date | time | description | vendor | amount
2015-04-15 | 10:13:25 | ergonomic keyboard | Amazon | -89.50
2015-04-15 | 11:15:00 | Invoice 1001 paid | Joe | 1500.00
2015-04-15 | 10:13:25 | ergonomic keyboard | Amazon | -89.50
2015-04-15 | 11:15:00 | Invoice 1001 paid | Joe | 1500.00
2016-04-16 | 09:45:10 | office chair | IKEA | -199.99
2016-04-16 | 14:30:45 | subscription renewal | Dropbox | -12.99
2016-04-17 | 08:22:15 | coffee beans | Starbucks | -15.75
2016-04-17 | 12:10:05 | Invoice 1002 paid | Alice | 2000.00
2017-04-18 | 15:45:50 | printer ink | Best Buy | -65.40
2017-04-18 | 16:20:00 | consultation payment | Smith Consulting | 500.00
2017-04-19 | 07:10:30 | cloud hosting | AWS | -120.00
2017-04-19 | 11:00:00 | Invoice 1003 paid|Charlie|1750.00
2017-04-20 | 10:00:00 | desk lamp | Target | -45.25
2018-04-20 | 13:30:30 | domain renewal | GoDaddy | -9.99
2018-04-21 | 09:15:45 | marketing services | AdCorp | -350.00
2018-04-21 | 10:45:30 | Invoice 1004 paid | Delta Inc | 2250.00
2018-04-22 | 08:50:20 | laptop stand | Newegg | -39.99
2019-04-22 | 14:40:00 | website maintenance | Freelancer Hub | -250.00
2019-04-23 | 10:05:10 | network cables | Office Depot | -30.20
2019-04-23 | 12:30:55 | Invoice 1005 paid|Evan | 1300.00
2019-04-24 | 09:25:40 | business cards | Vistaprint | -60.00
2020-04-24 | 13:00:00 | social media services | SocialBee | -89.00
2020-04-25 | 11:45:15 | camera tripod | B&H Photo | -150.75
2020-04-25 | 15:30:00 | Invoice 1006 paid | Grace | 1800.00
2020-04-26 | 10:30:50 | office snacks | Walmart | -95.60
2021-04-26 | 16:15:10 | technical support | Tech Solutions | -500.00
2021-04-27 | 09:00:00 | software license | Microsoft | -299.99
2021-04-27 | 12:45:25 | Invoice 1007 paid | Hannah | 2100.00
2021-04-28 | 08:40:40 | whiteboard | Staples | -120.00
2021-04-28 | 13:25:15 | data storage | Dropbox | -19.99
2022-04-29 | 11:05:00 | team lunch | Local Bistro | -220.30
2022-04-29 | 14:10:30 | Invoice 1008 paid | Ian | 1950.00
2022-04-30 | 10:50:00 | headphones | Best Buy | -85.00
2022-04-30 | 15:00:20 | cloud software | Adobe | -29.99
2023-05-01 | 09:20:30 | office cleaning | CleanCo | -300.00
2023-05-01 | 11:35:00 | Invoice 1009 paid | Jenna | 2400.00
2023-05-02 | 10:15:45 | router replacement | Amazon | -110.80
2023-05-02 | 13:00:00 | graphic design service | DesignLab | -400.00
2023-05-03 | 08:30:00 | server hosting | AWS | -150.00
2024-05-03 | 12:20:15 | Invoice 1010 paid|Kyle | 2600.00
2024-05-04 | 10:00:25 | conference tickets | Eventbrite | -500.00
2024-05-04 | 14:30:40 | social media ads | Meta | -200.00
2024-05-05 | 09:10:00 | client dinner | Restaurant La Vie | -350.50
2024-05-05 | 15:45:20 | Invoice 1011 paid | Laura | 2750.00
2024-05-06 | 08:55:10 | project management tool | Asana | -50.00
2024-05-06 | 13:10:00 | freelance writing | ContentPros | -600.00
2024-05-07 | 10:05:30 | monitor arm | OfficeMax | -75.25
2024-05-07 | 14:00:10 | Invoice 1012 paid | Matt | 3000.00
2024-05-08 | 11:30:45 | wifi upgrade | Best Buy | -95.99
2024-05-08 | 16:10:00 | legal services | LegalZoom | -800.00
2024-05-09 | 09:40:30 | business registration | Govt Portal | -120.00
2025-04-30 | 07:53:49 | Invoice 9000 paid| Max | 7000.00
2025-04-30 | 07:54:48 | Invoice 9001 paid| Max | 8000.00
2025-04-30 | 09:12:02 | Water Bill | Charlotte Water | -50.00
2025-04-30 | 09:31:13 | Power Bill | Duke Energy | -0.00
2025-04-30 | 09:55:09 | Baseball Glove | Wilson | -50.00
